FRAMES,FP1_FORCE_X,FP1_FORCE_Y,FP1_FORCE_Z,FP1_COFP_X,FP1_COFP_Y,FP1_COFP_Z,FP1_FREEMOMENT_Z,FP2_FORCE_X,FP2_FORCE_Y,FP2_FORCE_Z,FP2_COFP_X,FP2_COFP_Y,FP2_COFP_Z,FP2_FREEMOMENT_Z,f_Heel_contact_1,f_Toe_off_1,f_Heel_contact_2,f_Toe_off_2
1,-1.674419281806759e-19,-2.381367768434503e-19,-1.5364580838809935e-18,,,,1.9119605023621404e-20,7.786204766421914e-44,-3.451315642004938e-43,-4.398843573004727e-42,,,,-8.634621474275473e-44,948,2382,2185,3578
2,-1.852214813006405e-19,-2.555783650702455e-19,-1.3079982436139308e-18,,,,2.1488383915203918e-20,8.51904404391127e-44,-3.5607995777229417e-43,-4.630230629685047e-42,,,,-8.826772894346165e-44,948,2382,2185,3578
3,-2.020330036266248e-19,-2.710248053615746e-19,-1.0397843280259007e-18,,,,2.3773319062350525e-20,9.199464522786812e-44,-3.630071358334567e-43,-4.817606051666123e-42,,,,-8.911874842824043e-44,948,2382,2185,3578
4,-2.175485662261091e-19,-2.840719812807615e-19,-7.3191558395355e-19,,,,2.5934277847414595e-20,9.812962737641565e-44,-3.654411534078741e-43,-4.954225691424375e-42,,,,-8.878768994379767e-44,948,2382,2185,3578
5,-2.3142808823789267e-19,-2.9431215417382887e-19,-3.850616823449936e-19,,,,2.79291504491153e-20,1.0344633707703782e-43,-3.629297691332504e-43,-5.033436595528453e-42,,,,-8.716932348679198e-44,948,2382,2185,3578
6,-2.4332301975783693e-19,-3.0133939668177696e-19,-5.062817736771767e-22,,,,2.971426193164788e-20,1.0779344537549187e-43,-3.5504867752137456e-43,-5.048779636981224e-42,,,,-8.416685227522719e-44,948,2382,2185,3578
7,-2.528804870305923e-19,-3.0475550585281893e-19,4.1981404646942966e-19,,,,3.1244844801292246e-20,1.1101927385472045e-43,-3.4141011134364887e-43,-4.99409894776339e-42,,,,-7.969406677826627e-44,948,2382,2185,3578
8,-2.5974788427187196e-19,-3.0417635676757733e-19,8.732765138759227e-19,,,,3.247557096544341e-20,1.1297390869519696e-43,-3.2167172681677557e-43,-4.863657235202484e-42,,,,-7.367754920690546e-44,948,2382,2185,3578
9,-2.635778886675439e-19,-2.992386477216103e-19,1.3565454247670764e-18,,,,3.3361141089288e-20,1.1351148633789704e-43,-2.9554567214141622e-43,-4.6522558973140674e-42,,,,-6.605890195961366e-44,948,2382,2185,3578
10,-2.640338669261667e-19,-2.8960697791618725e-19,1.865553093656135e-18,,,,3.385692834664491e-20,1.1249263435958008e-43,-2.6280772810475606e-43,-4.355358683472107e-42,,,,-5.679697071338881e-44,948,2382,2185,3578
