FRAMES,First_FORCE_X,First_FORCE_Y,First_FORCE_Z,First_COFP_X,First_COFP_Y,First_COFP_Z,First_FREEMOMENT_Z,Second_FORCE_X,Second_FORCE_Y,Second_FORCE_Z,Second_COFP_X,Second_COFP_Y,Second_COFP_Z,Second_FREEMOMENT_Z,Heel_Strike1,Toe_Off1,Heel_Strike2
1,9.97578314184779e-34,-7.543429271080175e-34,-1.7663225731138875e-33,,,,-5.861930998049733e-35,-5.344866106410108e-50,1.3403974975262496e-52,-7.366056412712942e-49,,,,-2.0810465577419785e-50,928,480,1760
2,1.0532268896601786e-33,-7.96542339266766e-34,-1.8634807089024624e-33,,,,-6.194145867440388e-35,-3.7298062350996294e-50,4.645749423638421e-51,-5.005131013404287e-49,,,,-1.429163572521393e-50,928,480,1760
3,1.0573727627720873e-33,-7.998127941374233e-34,-1.869262896624791e-33,,,,-6.224423757254402e-35,-1.5815479006594753e-50,9.756187748669573e-51,-1.8912064690016743e-49,,,,-5.665777893408875e-51,928,480,1760
4,9.99800351024603e-34,-7.564246312639548e-34,-1.765637712189144e-33,,,,-5.892522195584755e-35,1.0761078124322247e-50,1.5279090353217516e-50,1.93736908496554e-49,,,,4.9649746834594364e-51,928,480,1760
5,8.719657412455302e-34,-6.5991065501296e-34,-1.5375521119250572e-33,,,,-5.147951464627955e-35,4.1846322381483624e-50,2.0967745416689896e-50,6.392567414363079e-49,,,,1.7360170268209438e-50,928,480,1760
6,6.6782549813337925e-34,-5.056929317073045e-34,-1.1743980834769181e-33,,,,-3.9548480253013894e-35,7.647506906238411e-50,2.651787931178726e-50,1.1332267561661069e-48,,,,3.112847900359563e-50,928,480,1760
7,3.8467807285679025e-34,-2.917192195782084e-34,-6.7150039851483155e-34,,,,-2.296926567133612e-35,1.132857606457346e-49,3.1574504424682587e-50,1.6558187400824336e-48,,,,4.57216230700586e-50,928,480,1760
8,2.3970499713341413e-35,-1.907326519808308e-35,-3.1541583761007987e-35,,,,-1.8223309716331214e-36,1.5052423959012978e-49,3.574309129236354e-50,2.1816735487320667e-48,,,,6.043641187942157e-50,928,480,1760
9,-4.079840378404965e-34,3.0748217873687126e-34,7.341723000460723e-34,,,,2.3526204922616952e-35,1.8607146536977596e-49,3.8605241612682064e-50,2.680329817653271e-48,,,,7.442633102595807e-50,928,480,1760
10,-8.994374552650996e-34,6.790747466321109e-34,1.6047107329868694e-33,,,,5.239091141367245e-35,2.1749817226108403e-49,3.9738806732218865e-50,3.1170373555548833e-48,,,,8.672384927568019e-50,928,480,1760
11,-1.4328492676028869e-33,1.0824514870932453e-33,2.5488931210466744e-33,,,,8.374575896276437e-35,2.4214845152433275e-49,3.8742122638608906e-50,3.453981594819525e-48,,,,9.627419952687357e-50,928,480,1760
12,-1.984802377672139e-33,1.499914449754362e-33,3.5251481397030445e-33,,,,1.1621884991841532e-34,2.572529153829462e-49,3.5261725394979505e-50,3.6519262762508e-48,,,,1.0198085757754748e-49,928,480,1760
13,-2.5262500370273567e-33,1.9095066285302096e-33,4.4819602362662816e-33,,,,1.4810657995208115e-34,2.6007047834200026e-49,2.9022582025016973e-50,3.6722582047969786e-48,,,,1.027622941939496e-49,928,480,1760
14,-3.0231434892108424e-33,2.2854857334130438e-33,5.358990558412108e-33,,,,1.774101543408515e-34,2.480559125764897e-49,1.9859536308946323e-50,3.4793910100637075e-48,,,,9.761882722030419e-50,928,480,1760
15,-3.4374768802220246e-33,2.599113498312233e-33,6.088936592685548e-33,,,,2.0189662763346814e-34,2.190482597067975e-49,7.748345342455805e-51,3.043455280793679e-48,,,,8.570757613726552e-50,928,480,1760
16,-3.72876843123848e-33,2.819774939168676e-33,6.600163562667636e-33,,,,2.1918560501294992e-34,1.7147299605398018e-49,-7.165607511728923e-51,2.3431714489719573e-48,,,,6.642265567548272e-50,928,480,1760
17,-3.855974750342632e-33,2.916425257565414e-33,6.820101401601723e-33,,,,2.268614466977986e-34,1.0454866018790027e-49,-2.4543070862697566e-50,1.3687709327940476e-48,,,,3.947688098677721e-50,928,480,1760
18,-3.7798089445080814e-33,2.859342265678686e-33,6.679354649593157e-33,,,,2.2260927805210183e-34,1.8486589045259383e-50,-4.3833453680903215e-50,1.2480215810035156e-49,,,,4.980445890497078e-51,928,480,1760
19,-3.465403637279797e-33,2.6221398603584176e-33,6.116420278793514e-33,,,,2.0437137189129063e-34,-8.532938160028534e-50,-6.426646754695943e-50,-1.3673667440752659e-48,,,,-3.6488663917700993e-50,928,480,1760
20,-2.885228202379884e-33,2.183974029272757e-33,5.082852177737142e-33,,,,1.7051860019635546e-34,-2.041977564535791e-49,-8.485514129935673e-50,-3.0675552653237324e-48,,,,-8.382828615775339e-50,928,480,1760
21,-2.0221369353652072e-33,1.531848223649867e-33,3.5486533955600976e-33,,,,1.2002973484731991e-34,-3.3400402951609925e-49,-1.0441223141987457e-49,-4.915504432961492e-48,,,,-1.3537577548913352e-49,928,480,1760
22,-8.723932778424683e-34,6.629010207842823e-34,1.5076214028681347e-33,,,,5.266951508581944e-35,-4.691904230365583e-49,-1.215816511248396e-49,-6.830552830397713e-48,,,,-1.8889780897364453e-49,928,480,1760
23,5.515133596649492e-34,-4.13462618328474e-34,-1.0176787836527669e-33,,,,-3.0845285908606334e-35,-6.028051067280454e-49,-1.3488596728803039e-49,-8.712456264390358e-48,,,,-2.4161196129295133e-49,928,480,1760
24,2.2184648817353863e-33,-1.673752792865509e-33,-3.971679708495605e-33,,,,-1.2870393785922705e-34,-7.266433736310218e-49,-1.4279026735488898e-49,-1.0443524012857281e-47,,,,-2.902449243385685e-49,928,480,1760
25,4.0769481352274934e-33,-3.0790568721894043e-33,-7.26270813421361e-33,,,,-2.37897039296804e-34,-8.31490227051803e-49,-1.4378178896962517e-49,-1.189220021779391e-47,,,,-3.311310227450404e-49,928,480,1760
26,6.0541525127356996e-33,-4.574354645386811e-33,-1.0761415801471598e-32,,,,-3.5416240744577054e-34,-9.074696670087478e-49,-1.3646365544746247e-49,-1.291815842745566e-47,,,,-3.603530012076024e-49,928,480,1760
27,8.056152147449897e-33,-6.0886533075339736e-33,-1.4301134067179425e-32,,,,-4.719945680020635e-34,-9.4450067942551e-49,-1.196599054123665e-49,-1.3378900986656936e-47,,,,-3.739249424619884e-49,928,480,1760
28,9.969371893293849e-33,-7.536093013900138e-33,-1.7680503896344777e-32,,,,-5.847295960323273e-34,-9.328536227622401e-49,-9.252779279832126e-50,-1.3137764387570553e-47,,,,-3.68014656360351e-49,928,480,1760
29,1.1663498937970004e-32,-8.818145525210963e-33,-2.0668666187390422e-32,,,,-6.847148787524251e-34,-8.637935497745579e-49,-5.467212455582837e-50,-1.2073129417326283e-47,,,,-3.3920003174254683e-49,928,480,1760
30,1.2995947750595388e-32,-9.826987553571236e-33,-2.3013201191373738e-32,,,,-7.635702024476284e-34,-7.302892555668442e-49,-6.255269924926572e-51,-1.0088524757437014e-47,,,,-2.8475076827650208e-49,928,480,1760
31,1.3817915069279233e-32,-1.0450076759191725e-32,-2.4450879777951825e-32,,,,-8.125424053537794e-34,-5.2775885097536586e-49,5.190450135522081e-50,-7.123199588111561e-48,,,,-2.029237432061781e-49,928,480,1760
32,1.3981974723097082e-32,-1.0575892647989692e-32,-2.4721135188962835e-32,,,,-8.229507398971905e-34,-2.5481484759347004e-49,1.182544259021288e-49,-3.162630849976321e-48,,,,-9.325718799930459e-50,928,480,1760
33,1.335106131546072e-32,-1.0100728433232459e-32,-2.3581985375810105e-32,,,,-7.86714171169277e-34,8.603539587800552e-50,1.9045686816816313e-49,1.7516687653526884e-48,,,,4.315394972742677e-50,928,480,1760
34,1.1808580447597531e-32,-8.936335725335788e-33,-2.0827938866577717e-32,,,,-6.969452953485336e-34,4.8778392394299655e-49,2.6537559743646964e-49,7.51375740019772e-48,,,,2.0342138310391527e-49,928,480,1760
35,9.269265767246893e-33,-7.018135130200478e-33,-1.630920940831264e-32,,,,-5.485886575530585e-34,9.384652807593647e-49,3.3910662792218487e-49,1.3947055330095982e-47,,,,3.8268709237170596e-49,928,480,1760
36,5.690285459746594e-33,-4.313616830172277e-33,-9.951356617774005e-33,,,,-3.3907432164921564e-34,1.420904283980779e-48,4.0706042545120166e-49,2.0801111029049686e-47,,,,5.740292504771687e-49,928,480,1760
37,1.081989760843477e-33,-8.304712125653706e-34,-1.774273789294676e-33,,,,-6.895100003705997e-35,1.9127230133864903e-48,4.64100564047845e-49,2.775210910549357e-47,,,,7.684719666086263e-49,928,480,1760
38,-4.482405488153435e-33,3.376083466562814e-33,8.090726245532881e-33,,,,2.5754264961306776e-34,2.3866567826386065e-48,5.0474156204877724e-49,3.440781446677276e-47,,,,9.551183697428179e-49,928,480,1760
39,-1.085897778945424e-32,8.197365103795827e-33,1.9387105667393656e-32,,,,6.320143109056152e-34,2.8112202274779286e-48,5.234056565910841e-49,4.0317519183491614e-47,,,,1.1214230406437025e-48,928,480,1760
40,-1.7827919763492108e-32,1.3467303857811387e-32,3.172402798052397e-32,,,,1.0416101243577755e-33,3.151751904827982e-48,5.147347436988301e-49,4.49873723864273e-47,,,,1.2536146603741213e-48,928,480,1760
41,-2.5091845428273213e-32,1.896115188224355e-32,4.457346862448383e-32,,,,1.4689110039371843e-33,3.3718489133914843e-48,4.739497189579282e-49,4.790122886681412e-47,,,,1.337272965255872e-48,928,480,1760
42,-3.2278355698191633e-32,2.4397412818486482e-32,5.72748779546157e-32,,,,1.8920788165400537e-33,3.435182213271452e-48,3.972451478089102e-49,4.854685200264202e-47,,,,1.3580557660751363e-48,928,480,1760
43,-3.894753595335029e-32,2.9443500275900034e-32,6.904858294423986e-32,,,,2.2852921521698984e-33,3.307659007236113e-48,2.822027686717741e-49,4.644695821831211e-47,,,,1.3025620950023921e-48,928,480,1760
44,-4.460489716208662e-32,3.372551261905871e-32,7.901882692084095e-32,,,,2.619501980431373e-33,2.959871513121825e-48,1.2820302493561005e-49,4.1194204640407683e-47,,,,1.1593067966830741e-48,928,480,1760
45,-4.8720049188436456e-32,3.684234297201207e-32,8.624695086427898e-32,,,,2.8635244394977454e-33,2.369742777739395e-48,-6.319008905815818e-50,3.248881454726961e-47,,,,9.197705119222987e-49,928,480,1760
46,-5.075111185706787e-32,3.83841293934857e-32,8.977471761783253e-32,,,,2.985471408261646e-33,1.525251234620132e-48,-2.8789878957469782e-49,2.0177126527498484e-47,,,,5.794775652851767e-49,928,480,1760
47,-5.017453116189571e-32,3.7954794508099037e-32,8.867718088895442e-32,,,,2.9544996657301373e-33,4.2708815060609436e-49,-5.3908597060854506e-49,4.288966814107221e-48,,,,1.3904342465144547e-49,928,480,1760
48,-4.6519584015507813e-32,3.519813353911936e-32,8.212382075626327e-32,,,,2.7428368879777935e-33,-9.08922161695363e-49,-8.070252927737128e-49,-1.4928592798733335e-47,,,,-3.9487609259554145e-49,928,480,1760
49,-3.9406438982415847e-32,2.982659513343304e-32,6.944593114924287e-32,,,,2.328018281626093e-33,-2.4498283954924105e-48,-1.0791169587093897e-48,-3.6983787229556183e-47,,,,-1.0088090128390544e-48,928,480,1760
50,-2.858621092660347e-32,2.1651574510605494e-32,5.02074851023088e-32,,,,1.695242382288487e-33,-4.144184985389552e-48,-1.3400764457763883e-48,-6.112186511159733e-47,,,,-1.6819442397818646e-48,928,480,1760
51,-1.3981027204540417e-32,1.0613720518787615e-32,2.4275960890305957e-32,,,,8.397297923308096e-34,-5.921513691472316e-48,-1.572318519478662e-48,-8.631880443088452e-47,,,,-2.3859412980362805e-48,928,480,1760
52,4.278261415964454e-33,-3.18853272167662e-33,-8.111066372169512e-33,,,,-2.3105404170332738e-34,-7.692786324977592e-48,-1.7565516259926365e-48,-1.1128973314546007e-46,,,,-3.085148445893612e-48,928,480,1760
53,2.581941086104118e-32,-1.9474240324093766e-32,-4.628832489711636e-32,,,,-1.4954697621967465e-33,-9.352097756188336e-48,-1.8725882456878658e-48,-1.345144036342718e-46,,,,-3.7372953170546474e-48,928,480,1760
54,5.000406249800048e-32,-3.7761226107666634e-32,-8.911938467012358e-32,,,,-2.9162396665853538e-33,-1.077966070961554e-47,-1.9003651006691923e-48,-1.542815161717292e-46,,,,-4.2947110008243137e-48,928,480,1760
55,7.59139710386434e-32,-5.735563645878114e-32,-1.3497264103470896e-31,,,,-4.4396244449383523e-33,-1.1846201154357859e-47,-1.8211535187603203e-48,-1.6875291964213257e-46,,,,-4.7060972574799476e-48,928,480,1760
56,1.0235111557690686e-31,-7.735198809066077e-32,-1.8172192786648421e-31,,,,-5.9954138920984514e-33,-1.2418765538881534e-47,-1.61892519941171e-48,-1.7604774144908047e-46,,,,-4.9188594902071436e-48,928,480,1760
57,1.2785437484076463e-31,-9.664573839834754e-32,-2.267764921400974e-31,,,,-7.497889721447744e-33,-1.2367869816939713e-47,-1.2818227101792291e-48,-1.7434533024916904e-46,,,,-4.8819656231538854e-48,928,480,1760
58,1.5073498735290175e-31,-1.1396005940025503e-31,-2.671442416291348e-31,,,,-8.84789174035993e-33,-1.1575827311562926e-47,-8.036680403545e-49,-1.6200456664586575e-46,,,,-4.549266042077072e-48,928,480,1760
59,1.6913233637657483e-31,-1.2788798184471435e-31,-2.9953096736447243e-31,,,,-9.93607881797971e-33,-9.945991214906067e-48,-1.8542738071230664e-49,-1.3769565586326423e-46,,,,-3.883167551822907e-48,928,480,1760
60,1.8109069585431173e-31,-1.3695039308352479e-31,-3.2047663835183673e-31,,,,-1.0647423129787199e-32,-7.41254229358564e-48,5.634629551002508e-49,-1.005390260888538e-46,,,,-2.858512649329838e-48,928,480,1760
61,1.846564573184767e-31,-1.3966952852557318e-31,-3.2652788648740427e-31,,,,-1.0866910691805707e-32,-3.950348613671497e-48,1.424014748987055e-48,-5.02444952230672e-47,,,,-1.466474483651639e-48,928,480,1760
62,1.7799405381557281e-31,-1.3465661064228335e-31,-3.144434889785777e-31,,,,-1.0486344646730067e-32,4.1567176328608184e-49,2.366961463975244e-48,1.2757470727369079e-47,,,,2.8175976336265458e-49,928,480,1760
